Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Severe OA (pH 7.5)	Higher	GWK47_002107	937	0.23	0.07	0.0078	2.11	Cul4b	Cullin-4B	Q13620	0	Cullin-4B (CUL-4B)	astrocyte differentiation [GO:0048708]; cellular response to UV [GO:0034644]; DNA damage response [GO:0006974]; G1/S transition of mitotic cell cycle [GO:0000082]; gene expression [GO:0010467]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of protein catabolic process [GO:0045732]; proteasomal protein catabolic process [GO:0010498]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ribosome biogenesis [GO:0042254]; ubiquitin-dependent protein catabolic process [GO:0006511]; UV-damage excision repair [GO:0070914]
Severe OA (pH 7.5)	Higher	GWK47_011640	3571	0.23	0.09	0.0319	1.50	Ftsj3	pre-rRNA processing protein FTSJ3	Q9DBE9	2.29E-38	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	RNA methylation [GO:0001510]
Severe OA (pH 7.5)	Higher	GWK47_029699	504	0.22	0.08	0.0162	1.79	MED27	Mediator of RNA polymerase II transcription subunit 27	Q171Y8	1.06E-71	Mediator of RNA polymerase II transcription subunit 27 (Mediator complex subunit 27)	regulation of transcription by RNA polymerase II [GO:0006357]
Severe OA (pH 7.5)	Higher	GWK47_025072	914	0.22	0.08	0.0167	1.78	MRPL42	39S ribosomal protein L42, mitochondrial	P82927	1.54E-11	Large ribosomal subunit protein mL42 (28S ribosomal protein S32, mitochondrial) (MRP-S32) (S32mt) (39S ribosomal protein L42, mitochondrial) (L42mt) (MRP-L42)	
Severe OA (pH 7.5)	Higher	GWK47_053224	1555	0.22	0.07	0.0124	1.91	NUP160	Nuclear pore complex protein Nup160	Q9Z0W3	4.24E-162	Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Gene trap locus 1-13 protein) (GTL-13) (Nucleoporin Nup160)	mRNA export from nucleus [GO:0006406]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
Severe OA (pH 7.5)	Higher	GWK47_016695	726	0.22	0.10	0.0411	1.39	POLI	DNA polymerase iota	Q9VHV1	1.84E-52	DNA polymerase iota (EC 2.7.7.7)	DNA replication [GO:0006260]; translesion synthesis [GO:0019985]
Severe OA (pH 7.5)	Higher	GWK47_013944	4361	0.22	0.07	0.0073	2.14		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_009763	1007	0.22	0.08	0.0152	1.82	thoc7	THO complex subunit 7	Q6DGZ3	8.97E-35	THO complex subunit 7 homolog	mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]
Severe OA (pH 7.5)	Higher	GWK47_047215	1952	0.22	0.09	0.0359	1.44	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	P19536	1.45E-15	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)	mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]
Severe OA (pH 7.5)	Higher	GWK47_050031	2448	0.22	0.09	0.0398	1.40	Srp19	Signal recognition particle protein	P49963	9.79E-33	Signal recognition particle 19 kDa protein (SRP19)	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition [GO:0006617]
Severe OA (pH 7.5)	Higher	GWK47_015180	785	0.22	0.09	0.0430	1.37	mdh_0	malate dehydrogenase	Q9V0D5	1.60E-71	Malate dehydrogenase (EC 1.1.1.37)	tricarboxylic acid cycle [GO:0006099]
Severe OA (pH 7.5)	Higher	GWK47_047758	5279	0.22	0.07	0.0084	2.08	PHB2	Prohibitin-2	Q2HJ97	3.95E-131	Prohibitin-2	B cell activation [GO:0042113]; cell migration [GO:0016477]; mitochondrion organization [GO:0007005]; mitophagy [GO:0000423]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; regulation of cardiolipin metabolic process [GO:1900208]; regulation of cytochrome-c oxidase activity [GO:1904959]
Severe OA (pH 7.5)	Higher	GWK47_029651	363	0.22	0.08	0.0303	1.52		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_029334	342	0.22	0.09	0.0405	1.39	THA1_0	putative low-specificity L-threonine aldolase 1	Q9FPH3	1.28E-84	Probable low-specificity L-threonine aldolase 2 (EC 4.1.2.48) (Threonine aldolase 2)	threonine catabolic process [GO:0006567]
Severe OA (pH 7.5)	Higher	GWK47_048380	215	0.22	0.09	0.0358	1.45	MRPL4_1	39S ribosomal protein L4, mitochondrial	Q32PI6	6.65E-64	Large ribosomal subunit protein uL4m (39S ribosomal protein L4, mitochondrial) (L4mt) (MRP-L4)	translation [GO:0006412]
Severe OA (pH 7.5)	Higher	GWK47_030588	1292	0.22	0.08	0.0247	1.61	MRPL44	39S ribosomal protein L44, mitochondrial	Q5REY8	2.50E-50	Large ribosomal subunit protein mL44 (EC 3.1.26.-) (39S ribosomal protein L44, mitochondrial) (L44mt) (MRP-L44)	mitochondrial translational elongation [GO:0070125]; RNA processing [GO:0006396]
Severe OA (pH 7.5)	Higher	GWK47_020456	2654	0.22	0.07	0.0087	2.06	Srsf7	Serine/arginine-rich splicing factor 7	Q3T106	2.17E-57	Serine/arginine-rich splicing factor 7 (Splicing factor, arginine/serine-rich 7)	mRNA cis splicing, via spliceosome [GO:0045292]; mRNA transport [GO:0051028]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]
Severe OA (pH 7.5)	Higher	GWK47_023748	2682	0.22	0.06	0.0020	2.70		UPF0430 protein				
Severe OA (pH 7.5)	Higher	GWK47_039253	1182	0.22	0.07	0.0176	1.75		H/ACA ribonucleoprotein complex subunit 3				
Severe OA (pH 7.5)	Higher	GWK47_007835	997	0.22	0.10	0.0464	1.33	DDX55	ATP-dependent RNA helicase DDX55	Q5ZLN8	8.48E-161	ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55)	
Severe OA (pH 7.5)	Higher	GWK47_045185	319	0.22	0.09	0.0404	1.39		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_009498	2095	0.22	0.10	0.0482	1.32		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_024016	8005	0.22	0.08	0.0235	1.63	PRMT1	Protein arginine N-methyltransferase 1	Q99873	6.91E-170	Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)	cardiac muscle tissue development [GO:0048738]; cell surface receptor signaling pathway [GO:0007166]; cellular response to methionine [GO:0061431]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; in utero embryonic development [GO:0001701]; negative regulation of JNK cascade [GO:0046329]; negative regulation of megakaryocyte differentiation [GO:0045653]; neuron projection development [GO:0031175]; peptidyl-arginine methylation [GO:0018216]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of hemoglobin biosynthetic process [GO:0046985]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of translation [GO:0045727]; protein homooligomerization [GO:0051260]; protein methylation [GO:0006479]; regulation of BMP signaling pathway [GO:0030510]; regulation of DNA-templated transcription [GO:0006355]; regulation of megakaryocyte differentiation [GO:0045652]; RNA splicing [GO:0008380]; viral protein processing [GO:0019082]
Severe OA (pH 7.5)	Higher	GWK47_039530	1820	0.22	0.08	0.0240	1.62		hypothetical protein	A0A8I3S9V6	1.15E-37	GEL complex subunit OPTI (Obligate partner of TMCO1 insertase) (Rab5-interacting protein) (RIP5) (Respirasome Complex Assembly Factor 1) (RCAF1)	mitochondrial respirasome assembly [GO:0097250]; multi-pass transmembrane protein insertion into ER membrane [GO:0160063]
Severe OA (pH 7.5)	Higher	GWK47_037439	2340	0.22	0.08	0.0319	1.50	RPIA	Ribose-5-phosphate isomerase	Q3T186	6.96E-100	Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase)	D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]
Severe OA (pH 7.5)	Higher	GWK47_016606	2191	0.22	0.07	0.0187	1.73	Prps1	Ribose-phosphate pyrophosphokinase 1	Q2HJ58	3.63E-206	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]
Severe OA (pH 7.5)	Higher	GWK47_015554	570	0.21	0.08	0.0232	1.64	Lsm3	U6 snRNA-associated Sm-like protein LSm3	Q32PE9	2.33E-54	U6 snRNA-associated Sm-like protein LSm3	mRNA splicing, via spliceosome [GO:0000398]; P-body assembly [GO:0033962]
Severe OA (pH 7.5)	Higher	GWK47_026734	2072	0.21	0.07	0.0150	1.82	MRPL47	39S ribosomal protein L47, mitochondrial	Q9HD33	3.93E-43	Large ribosomal subunit protein uL29m (39S ribosomal protein L47, mitochondrial) (L47mt) (MRP-L47) (Nasopharyngeal carcinoma metastasis-related protein 1)	mitochondrial translation [GO:0032543]
Severe OA (pH 7.5)	Higher	GWK47_006728	1098	0.21	0.08	0.0470	1.33		NFU1 iron-sulfur cluster scaffold, mitochondrial	B4PZ52	2.12E-87	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	iron-sulfur cluster assembly [GO:0016226]
Severe OA (pH 7.5)	Higher	GWK47_009987	2247	0.21	0.08	0.0207	1.68	RIOK2	Serine/threonine-protein kinase RIO2	Q9CQS5	2.29E-141	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2)	maturation of SSU-rRNA [GO:0030490]; positive regulation of ribosomal small subunit export from nucleus [GO:2000208]; positive regulation of rRNA processing [GO:2000234]; protein autophosphorylation [GO:0046777]; regulation of mitotic metaphase/anaphase transition [GO:0030071]
Severe OA (pH 7.5)	Higher	GWK47_018569	681	0.21	0.07	0.0109	1.96	gtb1	Glucosidase 2 subunit beta				
Severe OA (pH 7.5)	Higher	GWK47_041448	501	0.21	0.06	0.0061	2.22	Tsnax	Translin-associated protein X	Q9QZE7	3.49E-57	Translin-associated protein X (Translin-associated factor X)	cell differentiation [GO:0030154]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]; siRNA processing [GO:0030422]; spermatogenesis [GO:0007283]
Severe OA (pH 7.5)	Higher	GWK47_028382	376	0.21	0.08	0.0326	1.49	ALKBH7	Alpha-ketoglutarate-dependent dioxygenase alkB 7, mitochondrial	Q2M2S8	3.64E-52	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7)	DNA damage response [GO:0006974]; fatty acid metabolic process [GO:0006631]; regulation of lipid storage [GO:0010883]; regulation of mitochondrial membrane permeability involved in programmed necrotic cell death [GO:1902445]
Severe OA (pH 7.5)	Higher	GWK47_029319	2111	0.21	0.08	0.0276	1.56	PECR	Peroxisomal trans-2-enoyl-CoA reductase	Q99MZ7	2.15E-93	Peroxisomal trans-2-enoyl-CoA reductase (TERP) (EC 1.3.1.38)	fatty acid elongation [GO:0030497]; phytol metabolic process [GO:0033306]
Severe OA (pH 7.5)	Higher	GWK47_001382	441	0.21	0.09	0.0430	1.37	TIGD3	Tigger transposable element-derived protein 3	Q7TM95	6.02E-13	Tigger transposable element-derived protein 3	
Severe OA (pH 7.5)	Higher	GWK47_022011	2690	0.21	0.07	0.0153	1.82	ube2i	SUMO-conjugating enzyme UBC9	Q9DDJ0	1.68E-70	SUMO-conjugating enzyme UBC9-B (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9-B) (SUMO-protein ligase B) (Ubiquitin carrier protein 9-B) (Ubiquitin carrier protein I-B) (Ubiquitin-conjugating enzyme E2 I-B) (Ubiquitin-protein ligase I-B)	cell division [GO:0051301]; chromosome segregation [GO:0007059]; definitive hemopoiesis [GO:0060216]; embryonic heart tube elongation [GO:0036306]; heart looping [GO:0001947]; protein sumoylation [GO:0016925]
Severe OA (pH 7.5)	Higher	GWK47_016697	937	0.21	0.08	0.0359	1.44	Taf11	Transcription initiation factor TFIID subunit 11	P49906	6.52E-44	Transcription initiation factor TFIID subunit 11 (TAFII30 beta) (Transcription initiation factor TFIID 28 kDa subunit beta) (p28-beta)	protein-RNA complex assembly [GO:0022618]; RNA polymerase II preinitiation complex assembly [GO:0051123]; RNAi-mediated antiviral immune response [GO:0009616]; transcription initiation at RNA polymerase II promoter [GO:0006367]
Severe OA (pH 7.5)	Higher	GWK47_043420	591	0.21	0.07	0.0195	1.71	Cdc123	Cell division cycle protein 123	Q641C9	4.83E-81	Translation initiation factor eIF2 assembly protein (Cell division cycle protein 123 homolog)	eukaryotic translation initiation factor 2 complex assembly [GO:1905143]
Severe OA (pH 7.5)	Higher	GWK47_053150	566	0.20	0.08	0.0361	1.44	med30	Mediator of RNA polymerase II transcription subunit 30	Q0IHI6	9.27E-21	Mediator of RNA polymerase II transcription subunit 30 (Mediator complex subunit 30)	positive regulation of DNA-templated transcription [GO:0045893]
Severe OA (pH 7.5)	Higher	GWK47_032133	750	0.20	0.08	0.0359	1.44	GEMIN8	Gem-associated protein 8				
Severe OA (pH 7.5)	Higher	GWK47_031902	5061	0.20	0.08	0.0337	1.47	Cacna1g	Voltage-dependent T-type calcium channel subunit alpha-1G	O54898	1.22E-148	Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1)	action potential [GO:0001508]; artery smooth muscle contraction [GO:0014824]; AV node cell action potential [GO:0086016]; AV node cell to bundle of His cell signaling [GO:0086027]; calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cellular response to dexamethasone stimulus [GO:0071549]; chemical synaptic transmission [GO:0007268]; membrane depolarization during action potential [GO:0086010]; membrane depolarization during AV node cell action potential [GO:0086045]; membrane depolarization during SA node cell action potential [GO:0086046]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of atrial cardiac muscle cell membrane depolarization [GO:0060371]; regulation of calcium ion transport [GO:0051924]; regulation of heart rate [GO:0002027]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of membrane potential [GO:0042391]; response to nickel cation [GO:0010045]; SA node cell action potential [GO:0086015]; SA node cell to atrial cardiac muscle cell signaling [GO:0086018]
Severe OA (pH 7.5)	Higher	GWK47_013931	736	0.20	0.08	0.0356	1.45	GNPTG	N-acetylglucosamine-1-phosphotransferase subunit gamma	Q58CS8	2.43E-49	N-acetylglucosamine-1-phosphotransferase subunit gamma (GlcNAc-1-phosphotransferase subunit gamma) (UDP-N-acetylglucosamine-1-phosphotransferase subunit gamma)	carbohydrate phosphorylation [GO:0046835]
Severe OA (pH 7.5)	Higher	GWK47_052852	633	0.20	0.07	0.0251	1.60	OTUB1	Ubiquitin thioesterase OTUB1	Q96FW1	1.20E-51	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1)	adaptive immune response [GO:0002250]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; positive regulation of TORC1 signaling [GO:1904263]; protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108]; proteolysis [GO:0006508]
Severe OA (pH 7.5)	Higher	GWK47_049411	9416	0.20	0.09	0.0482	1.32	mRpL23	39S ribosomal protein L23, mitochondrial	Q5TUE9	3.76E-37	Large ribosomal subunit protein uL23m (39S ribosomal protein L23, mitochondrial) (L23mt) (MRP-L23)	mitochondrial translation [GO:0032543]
Severe OA (pH 7.5)	Higher	GWK47_048990	3208	0.20	0.06	0.0090	2.05	Nipsnap_1	Protein NipSnap	Q9VXK0	8.09E-118	Protein NipSnap	mitochondrion organization [GO:0007005]; mitophagy [GO:0000423]; oxidative phosphorylation [GO:0006119]
Severe OA (pH 7.5)	Higher	GWK47_004250	506	0.20	0.08	0.0410	1.39	eif1ad	putative RNA-binding protein EIF1AD	Q5RD29	4.82E-40	Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein)	
Severe OA (pH 7.5)	Higher	GWK47_007212	478	0.20	0.08	0.0463	1.33	CREB1	Cyclic AMP-responsive element-binding protein 1	P27925	1.30E-13	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1) (Cyclic AMP-responsive DNA-binding protein)	cell differentiation [GO:0030154]; circadian rhythm [GO:0007623]; negative regulation of apoptotic process [GO:0043066]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; regulation of transcription by RNA polymerase II [GO:0006357]; response to glucagon [GO:0033762]
Severe OA (pH 7.5)	Higher	GWK47_020451	546	0.20	0.08	0.0483	1.32		NECAP-like protein	Q9VXB0	1.03E-58	NECAP-like protein CG9132	endocytosis [GO:0006897]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
Severe OA (pH 7.5)	Higher	GWK47_029886	443	0.20	0.07	0.0245	1.61	Ppp1r21	Protein phosphatase 1 regulatory subunit 21	Q6IR70	3.48E-58	Protein phosphatase 1 regulatory subunit 21 (Coiled-coil domain-containing protein 128) (Ferry endosomal RAB5 effector complex subunit 2) (Fy-2) (KLRAQ motif-containing protein 1)	
Severe OA (pH 7.5)	Higher	GWK47_014601	1089	0.19	0.08	0.0405	1.39	tmem147	Transmembrane protein 147	Q6DGL7	2.79E-38	BOS complex subunit TMEM147 (Transmembrane protein 147)	multi-pass transmembrane protein insertion into ER membrane [GO:0160063]; protein localization to nuclear inner membrane [GO:0036228]
Severe OA (pH 7.5)	Higher	GWK47_002582	576	0.19	0.08	0.0360	1.44	Dysb	Dysbindin	Q9VVT5	5.51E-20	Dysbindin protein homolog (Biogenesis of lysosome-related organelles complex 1 subunit 8) (BLOC-1 subunit 8)	adult locomotory behavior [GO:0008344]; eye pigment granule organization [GO:0008057]; long-term memory [GO:0007616]; mating behavior, sex discrimination [GO:0048047]; negative regulation of dopamine metabolic process [GO:0045963]; olfactory learning [GO:0008355]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; regulation of neuromuscular synaptic transmission [GO:1900073]; regulation of synapse organization [GO:0050807]; regulation of synaptic plasticity [GO:0048167]; short-term memory [GO:0007614]; synaptic vesicle recycling via endosome [GO:0036466]
Severe OA (pH 7.5)	Higher	GWK47_040309	592	0.19	0.07	0.0286	1.54	Nup37	Nucleoporin Nup37	Q9CWU9	7.06E-40	Nucleoporin Nup37 (Nup107-160 subcomplex subunit Nup37)	cell division [GO:0051301]; chromosome segregation [GO:0007059]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]
Severe OA (pH 7.5)	Higher	GWK47_043203	2265	0.19	0.08	0.0391	1.41	MCTS1	Malignant T-cell-amplified sequence 1	Q9W445	8.18E-52	Malignant T-cell-amplified sequence 1 homolog (Multiple copies in T-cell lymphoma 1 homolog) (MCT-1)	formation of translation preinitiation complex [GO:0001731]; regulation of translation [GO:0006417]; translation reinitiation [GO:0002188]
Severe OA (pH 7.5)	Higher	GWK47_022760	1548	0.19	0.06	0.0073	2.14	TRAPPC3	Trafficking protein particle complex subunit 3	Q5ZI57	3.04E-77	Trafficking protein particle complex subunit 3	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]
Severe OA (pH 7.5)	Higher	GWK47_027762	6312	0.19	0.08	0.0399	1.40	PSMA3	Proteasome subunit alpha type-3	P25788	3.44E-122	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit alpha-7) (alpha-7)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Severe OA (pH 7.5)	Higher	GWK47_044318	4152	0.19	0.08	0.0420	1.38	Fam32a	Protein FAM32A	Q9CR80	6.85E-24	Protein FAM32A (Ovarian tumor associated gene 12) (OTAG-12)	apoptotic process [GO:0006915]
Severe OA (pH 7.5)	Higher	GWK47_018865	4400	0.19	0.07	0.0236	1.63	Poldip2	polymerase delta-interacting protein 2	Q91VA6	1.65E-144	Polymerase delta-interacting protein 2	error-free translesion synthesis [GO:0070987]; mitochondrion organization [GO:0007005]; mitotic spindle assembly [GO:0090307]; negative regulation of macroautophagy [GO:0016242]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mitotic cytokinesis [GO:1903490]; vascular associated smooth muscle cell proliferation [GO:1990874]
Severe OA (pH 7.5)	Higher	GWK47_027712	1813	0.18	0.08	0.0458	1.34	PPWD1	Peptidylprolyl isomerase domain and WD repeat-containing protein 1	Q29RZ2	4.34E-273	Peptidylprolyl isomerase domain and WD repeat-containing protein 1 (EC 5.2.1.8)	mRNA processing [GO:0006397]; protein folding [GO:0006457]; RNA splicing [GO:0008380]
Severe OA (pH 7.5)	Higher	GWK47_002060	3483	0.18	0.05	0.0081	2.09	Nudt2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical	P56380	5.22E-42	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.17) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nucleoside diphosphate-linked moiety X motif 2) (Nudix motif 2)	apoptotic process [GO:0006915]
Severe OA (pH 7.5)	Higher	GWK47_029251	941	0.18	0.08	0.0494	1.31	EXOSC8_1	Exosome complex component RRP43	Q9D753	9.08E-83	Exosome complex component RRP43 (Exosome component 8) (Ribosomal RNA-processing protein 43)	RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]
Severe OA (pH 7.5)	Higher	GWK47_047025	2886	0.18	0.08	0.0481	1.32		Protein KRTCAP2	P86229	5.68E-37	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2 (Oligosaccharyl transferase subunit KCP2) (Keratinocyte-associated protein 2) (KCP-2)	protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]
Severe OA (pH 7.5)	Higher	GWK47_035239	444	0.18	0.07	0.0369	1.43	lysmd3	LysM and putative peptidoglycan-binding domain-containing protein 3	Q7Z3D4	9.48E-11	LysM and putative peptidoglycan-binding domain-containing protein 3	Golgi organization [GO:0007030]
Severe OA (pH 7.5)	Higher	GWK47_005824	1566	0.18	0.08	0.0479	1.32	emc2-b	ER membrane protein complex subunit 2-B	Q8AVU9	8.43E-38	ER membrane protein complex subunit 2-B (Tetratricopeptide repeat protein 35-B) (TPR repeat protein 35-B)	protein insertion into ER membrane by stop-transfer membrane-anchor sequence [GO:0045050]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]
Severe OA (pH 7.5)	Higher	GWK47_015648	870	0.18	0.08	0.0494	1.31	Adar	Double-stranded RNA-specific editase Adar	Q9NII1	3.09E-116	Double-stranded RNA-specific editase Adar (EC 3.5.-.-) (Adenosine deaminase that act on RNA) (Pre-mRNA adenosine deaminase) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dADAR) (dsRNA adenosine deaminase)	adenosine to inosine editing [GO:0006382]; adult behavior [GO:0030534]; adult locomotory behavior [GO:0008344]; locomotor rhythm [GO:0045475]; locomotory behavior [GO:0007626]; male courtship behavior [GO:0008049]; mRNA modification [GO:0016556]; mRNA processing [GO:0006397]; negative regulation of BMP signaling pathway [GO:0030514]; post-transcriptional regulation of gene expression [GO:0010608]; regulation of circadian rhythm [GO:0042752]; regulation of membrane potential [GO:0042391]; response to heat [GO:0009408]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; RNA modification [GO:0009451]; RNA processing [GO:0006396]; spermatogenesis [GO:0007283]
Severe OA (pH 7.5)	Higher	GWK47_049978	4573	0.18	0.07	0.0456	1.34	PFDN4	Prefoldin subunit 4	Q9NQP4	5.84E-33	Prefoldin subunit 4 (Protein C-1)	chaperone-mediated protein folding [GO:0061077]; negative regulation of amyloid fibril formation [GO:1905907]; protein folding [GO:0006457]
Severe OA (pH 7.5)	Higher	GWK47_029840	1472	0.18	0.05	0.0100	2.00	slc38a7	putative sodium-coupled neutral amino acid transporter 7	Q9NVC3	6.21E-90	Sodium-coupled neutral amino acid transporter 7 (Solute carrier family 38 member 7)	amino acid transmembrane transport [GO:0003333]; asparagine transport [GO:0006867]; glutamine transport [GO:0006868]; sodium ion transport [GO:0006814]
Severe OA (pH 7.5)	Higher	GWK47_000852	1970	0.18	0.07	0.0322	1.49	prpf31	U4/U6 small nuclear ribonucleoprotein Prp31	Q5U5C5	1.93E-182	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31)	mRNA splicing, via spliceosome [GO:0000398]; spliceosomal tri-snRNP complex assembly [GO:0000244]
Severe OA (pH 7.5)	Higher	GWK47_007205	46489	0.17	0.05	0.0130	1.89	YBOXH	Y-box factor	P41824	7.75E-44	Y-box factor homolog (APY1)	
Severe OA (pH 7.5)	Higher	GWK47_034470	2278	0.17	0.07	0.0499	1.30	Lrpprc_2	Leucine-rich PPR motif-containing protein, mitochondrial	Q28C74	4.94E-15	Leucine-rich PPR motif-containing protein, mitochondrial	
Severe OA (pH 7.5)	Higher	GWK47_031479	1520	0.17	0.07	0.0404	1.39	AQR	RNA helicase aquarius	O60306	2.56E-43	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	mRNA splicing, via spliceosome [GO:0000398]
Severe OA (pH 7.5)	Higher	GWK47_048021	11828	0.17	0.06	0.0360	1.44	CACYBP	Calcyclin-binding protein	Q6AYK6	3.09E-44	Calcyclin-binding protein (CacyBP)	cardiac muscle cell differentiation [GO:0055007]; cellular response to calcium ion [GO:0071277]; cellular response to leukemia inhibitory factor [GO:1990830]; heart development [GO:0007507]; positive regulation of DNA replication [GO:0045740]; response to growth hormone [GO:0060416]
Severe OA (pH 7.5)	Higher	GWK47_001080	5049	0.17	0.06	0.0275	1.56	U2af50	Splicing factor U2AF subunit	Q24562	1.49E-185	Splicing factor U2AF 50 kDa subunit (U2 auxiliary factor 50 kDa subunit) (U2 snRNP auxiliary factor large subunit)	mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; positive regulation of RNA export from nucleus [GO:0046833]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]; spliceosomal complex assembly [GO:0000245]
Severe OA (pH 7.5)	Higher	GWK47_047946	7424	0.17	0.06	0.0224	1.65	spcs2	putative signal peptidase complex subunit 2	Q5M8Y1	1.07E-58	Signal peptidase complex subunit 2 (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit)	signal peptide processing [GO:0006465]
